"kenteken","voertuigsoort","merk","handelsbenaming","vervaldatum_apk","datum_tenaamstelling","bruto_bpm","inrichting","aantal_zitplaatsen","eerste_kleur","tweede_kleur","aantal_cilinders","cilinderinhoud","massa_ledig_voertuig","toegestane_maximum_massa_voertuig","massa_rijklaar","maximum_massa_trekken_ongeremd","maximum_trekken_massa_geremd","datum_eerste_toelating","datum_eerste_tenaamstelling_in_nederland","wacht_op_keuren","catalogusprijs","wam_verzekerd","maximale_constructiesnelheid","laadvermogen","oplegger_geremd","aanhangwagen_autonoom_geremd","aanhangwagen_middenas_geremd","aantal_staanplaatsen","aantal_deuren","aantal_wielen","afstand_hart_koppeling_tot_achterzijde_voertuig","afstand_voorzijde_voertuig_tot_hart_koppeling","afwijkende_maximum_snelheid","lengte","breedte","europese_voertuigcategorie","europese_voertuigcategorie_toevoeging","europese_uitvoeringcategorie_toevoeging","plaats_chassisnummer","technische_max_massa_voertuig","type","type_gasinstallatie","typegoedkeuringsnummer","variant","uitvoering","volgnummer_wijziging_eu_typegoedkeuring","vermogen_massarijklaar","wielbasis","export_indicator","openstaande_terugroepactie_indicator","vervaldatum_tachograaf","taxi_indicator","maximum_massa_samenstelling","aantal_rolstoelplaatsen","maximum_ondersteunende_snelheid","jaar_laatste_registratie_tellerstand","tellerstandoordeel","code_toelichting_tellerstandoordeel","tenaamstellen_mogelijk","vervaldatum_apk_dt","datum_tenaamstelling_dt","datum_eerste_toelating_dt","datum_eerste_tenaamstelling_in_nederland_dt","vervaldatum_tachograaf_dt","maximum_last_onder_de_vooras_sen_tezamen_koppeling","type_remsysteem_voertuig_code","rupsonderstelconfiguratiecode","wielbasis_voertuig_minimum","wielbasis_voertuig_maximum","lengte_voertuig_minimum","lengte_voertuig_maximum","breedte_voertuig_minimum","breedte_voertuig_maximum","hoogte_voertuig","hoogte_voertuig_minimum","hoogte_voertuig_maximum","massa_bedrijfsklaar_minimaal","massa_bedrijfsklaar_maximaal","technisch_toelaatbaar_massa_koppelpunt","maximum_massa_technisch_maximaal","maximum_massa_technisch_minimaal","subcategorie_nederland","verticale_belasting_koppelpunt_getrokken_voertuig","zuinigheidsclassificatie","registratie_datum_goedkeuring_afschrijvingsmoment_bpm","registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt","api_gekentekende_voertuigen_assen","api_gekentekende_voertuigen_brandstof","api_gekentekende_voertuigen_carrosserie","api_gekentekende_voertuigen_carrosserie_specifiek","api_gekentekende_voertuigen_voertuigklasse"
"G221FG","Personenauto","TESLA","MODEL 3","20230913","20190913",,"sedan","5","BLAUW","Niet geregistreerd",,,"1831","2305","1931",,,"20190913","20190913","Geen verstrekking in Open Data","60950","Ja","233",,,,,,"4","4","0","0",,"469","0","M1",,,,"2305","003",,"e4*2007/46*1293*04","E3D","BB1N","0","0.03","288","Nee","Ja",,"Nee","0","0","0.00","2022","Logisch","00","Ja","2023-09-13T00:00:00.000","2019-09-13T00:00:00.000","2019-09-13T00:00:00.000","2019-09-13T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221FH","Personenauto","SEAT","IBIZA","20230510","20200725","2655","hatchback","5","ZWART","Niet geregistreerd","3","999","1034","1575","1134","560","1000","20190510","20190911","Geen verstrekking in Open Data","23465","Ja","182",,,,,,"5","4","0","0",,"0","178","M1",,,"r. motorruimte","1575","KJ",,"e9*2007/46*3134*17","BDKLA","FM5SFM5DF0027CP2B1CA","0","0.06","255","Nee","Nee",,"Nee","2575","0","0.00","2020","Geen oordeel","05","Ja","2023-05-10T00:00:00.000","2020-07-25T00:00:00.000","2019-05-10T00:00:00.000","2019-09-11T00:00:00.000",,,,,,,,,,,"144",,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221FJ","Personenauto","FORD","KUGA","20231029","20220905","2868","MPV","5","GRIJS","Niet geregistreerd","4","1498","1479","2100","1579","750","2000","20151029","20190909","Geen verstrekking in Open Data","38140","Ja","195",,,,,,"4","4","0","0",,"0","0","M1",,,,"2100","DM2",,"e13*2001/116*0109*38","M8MA1A","5TN1PC","0","0.07","269","Nee","Nee",,"Nee","4100","0","0.00","2022","Geen oordeel","05","Nee","2023-10-29T00:00:00.000","2022-09-05T00:00:00.000","2015-10-29T00:00:00.000","2019-09-09T00:00:00.000",,,,,,,,,,,,,,,,,,,,,"C",,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221FK","Personenauto","SKODA","FABIA","20231014","20191014","2990","stationwagen","5","BLAUW","Niet geregistreerd","3","999","1036","1591","1136","560","1000","20191014","20191014","Geen verstrekking in Open Data","21175","Ja","187",,,,,,"2","4","0","0",,"0","0","M1",,,,"1591","5J",,"e8*2007/46*0319*05","ACDKLDX01","NFM5FM5DF0024BFN1C8A","0","0.06","246","Nee","Nee",,"Nee","2591","0","0.00","2020","Logisch","00","Ja","2023-10-14T00:00:00.000","2019-10-14T00:00:00.000","2019-10-14T00:00:00.000","2019-10-14T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221FL","Personenauto","TOYOTA","TOYOTA RAV4","20230913","20190913","2728","stationwagen","5","BLAUW","Niet geregistreerd","4","2487","1620","2225","1720","750","1650","20190913","20190913","Geen verstrekking in Open Data","47570","Ja","180",,,,,,"4","4","0","0",,"460","0","M1",,,,"2225","XA5(EU,M)",,"e6*2007/46*0289*01","AXAH54(N)","AXAH54L-ANXMBW(1B)","0","0.08","269","Nee","Nee",,"Nee","3875","0","0.00","2022","Logisch","00","Ja","2023-09-13T00:00:00.000","2019-09-13T00:00:00.000","2019-09-13T00:00:00.000","2019-09-13T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221FN","Personenauto","SEAT","ARONA","20230506","20191101","2861","hatchback","5","GRIJS","Niet geregistreerd","3","999","1089","1625","1189","590","1100","20190506","20191101","Geen verstrekking in Open Data","27030","Ja","182",,,,,,"5","4","0","0",,"0","178","M1",,,,"1625","KJ",,"e9*2007/46*3134*17","XDKRF","FM6SFM6AJ0167CP3A1BA","0","0.07","255","Nee","Nee",,"Nee","2725","0","0.00","2022","Geen oordeel","05","Ja","2023-05-06T00:00:00.000","2019-11-01T00:00:00.000","2019-05-06T00:00:00.000","2019-11-01T00:00:00.000",,,,,,,,,,,"155",,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221FP","Personenauto","TOYOTA","TOYOTA AYGO","20230913","20201125","1402","hatchback","4","WIT","Niet geregistreerd","3","998","830","1240","930",,,"20190913","20190913","Geen verstrekking in Open Data","13890","Ja","160",,,,,,"4","4","0","0",,"347","0","M1",,,,"1240","AB1",,"e11*2001/116*0236*14","KGB40(H)","KGB40L-AHMGKW(3Q)","0","0.06","234","Nee","Nee",,"Nee","1240","0","0.00","2021","Logisch","00","Ja","2023-09-13T00:00:00.000","2020-11-25T00:00:00.000","2019-09-13T00:00:00.000","2019-09-13T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221FR","Personenauto","VOLKSWAGEN","PASSAT","20230913","20190913","5741","stationwagen","5","ZWART","Niet geregistreerd","4","1498","1365","2060","1465","730","1600","20190913","20190913","Geen verstrekking in Open Data","44695","Ja","213",,,,,,"5","4","0","0",,"0","0","M1",,,,"2060","3C",,"e1*2001/116*0307*57","ACDADAX0","FD7FD7CW002SV7CPVR21BB","0","0.08","279","Nee","Nee",,"Nee","3700","0","0.00","2022","Logisch","00","Ja","2023-09-13T00:00:00.000","2019-09-13T00:00:00.000","2019-09-13T00:00:00.000","2019-09-13T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221FS","Personenauto","BMW","218I ACTIVE TOURER","20230919","20190919","6789","stationwagen","5","GRIJS","Niet geregistreerd","3","1499","1360","1945","1460","695","1300","20190919","20190919","Geen verstrekking in Open Data","45313","Ja","205",,,,,,"4","4","0","0",,"435","0","M1",,,,"1945","F2AT",,"e1*2007/46*1675*06","6S11","DAW500L0","0","0.07","267","Nee","Nee",,"Nee","3245","0","0.00","2021","Logisch","00","Ja","2023-09-19T00:00:00.000","2019-09-19T00:00:00.000","2019-09-19T00:00:00.000","2019-09-19T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221FV","Personenauto","VOLKSWAGEN","UP!","20230916","20210126","1942","hatchback","4","ZWART","Niet geregistreerd","3","999","834","1330","934",,,"20190916","20190916","Geen verstrekking in Open Data","13695","Ja","162",,,,,,"5","4","0","0",,"360","0","M1",,,,"1330","AA",,"e13*2007/46*1167*23","ABCHYA","FM5FM5CF0117CPVR2N1SVW1BM","0","0.05","241","Nee","Nee",,"Nee","0","0","0.00","2021","Logisch","00","Ja","2023-09-16T00:00:00.000","2021-01-26T00:00:00.000","2019-09-16T00:00:00.000","2019-09-16T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221FX","Personenauto","VOLKSWAGEN","GOLF","20230526","20210625","2884","stationwagen","5","BRUIN","Niet geregistreerd","4","1197","1275","1890","1375","680","1200","20110223","20190916","Geen verstrekking in Open Data","26349","Ja","190",,,,,,"4","4","0","0",,"0","178","M1",,,,"1890","1KM",,"e1*2001/116*0328*19","ACCBZBX0","FM6FM6AJ008E7MGN1","0","0.06","257","Nee","Nee",,"Nee","3090","0","0.00","2022","Geen oordeel","05","Ja","2023-05-26T00:00:00.000","2021-06-25T00:00:00.000","2011-02-23T00:00:00.000","2019-09-16T00:00:00.000",,,,,,,,,,,,,,,,,,,,,"A",,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221FZ","Personenauto","VOLKSWAGEN","GOLF","20230919","20190919",,"stationwagen","5","ZWART","Niet geregistreerd",,,"1515","2020","1615",,,"20190919","20190919","Geen verstrekking in Open Data","43958","Ja","150",,,,,,"5","4","0","0",,"427","0","M1",,,,"2020","AU",,"e1*2007/46*0623*41","GAC4EBSAX0","FA1FA1MD001E0GAON1ML1AVR0NA","0","0.06","263","Nee","Nee",,"Nee","0","0","0.00","2022","Logisch","00","Ja","2023-09-19T00:00:00.000","2019-09-19T00:00:00.000","2019-09-19T00:00:00.000","2019-09-19T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221GB","Personenauto","RENAULT","KANGOO","20230518","20190927","5445","stationwagen","5","GRIJS","Niet geregistreerd","4","1197","1295","1950","1395",,,"20170518","20190927","Geen verstrekking in Open Data","28415","Ja","172",,,,,,"4","4",,,,"428","183","M1",,,"r. onder motorkap op schetsplaat","1950","W",,,,,,"0.06","270","Nee","Nee",,"Nee",,,,"2022","Geen oordeel","05","Ja","2023-05-18T00:00:00.000","2019-09-27T00:00:00.000","2017-05-18T00:00:00.000","2019-09-27T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221GD","Personenauto","TOYOTA","TOYOTA YARIS HYBRID","20230928","20210330","1702","MPV","5","ZWART","Niet geregistreerd","4","1497","1075","1565","1175",,,"20190928","20190928","Geen verstrekking in Open Data","25805","Ja","165",,,,,,"4","4","0","0",,"0","0","M1",,,,"1565","XP13M(A)",,"e6*2007/46*0344*01","NHP13(MH)","NHP130L-CHXGBW(3P)","0","0.05","251","Nee","Nee",,"Nee","1565","0","0.00","2021","Logisch","00","Ja","2023-09-28T00:00:00.000","2021-03-30T00:00:00.000","2019-09-28T00:00:00.000","2019-09-28T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221GF","Personenauto","BMW","530I","20230918","20190918","7182","sedan","5","GRIJS","Niet geregistreerd","4","1998","1515","2220","1615","750","2000","20190918","20190918","Geen verstrekking in Open Data","77900","Ja","250",,,,,,"4","4","0","0",,"494","0","M1",,,,"2220","G5L",,"e1*2007/46*1688*09","JR31","DAW5070M","0","0.11","298","Nee","Nee",,"Nee","4220","0","0.00","2022","Logisch","00","Ja","2023-09-18T00:00:00.000","2019-09-18T00:00:00.000","2019-09-18T00:00:00.000","2019-09-18T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221GG","Personenauto","FORD","FOCUS","20230918","20201223","21228","hatchback","5","BLAUW","Niet geregistreerd","4","2261","1408","2000","1508","750","1600","20190918","20190918","Geen verstrekking in Open Data","55574","Ja","250",,,,,,"4","4","0","0",,"0","0","M1",,,,"2000","DEH",,"e13*2007/46*1911*05","N3DA1NX","5ELBH6ALVD1","0","0.14","270","Nee","Nee",,"Nee","3600","0","0.00","2020","Logisch","00","Ja","2023-09-18T00:00:00.000","2020-12-23T00:00:00.000","2019-09-18T00:00:00.000","2019-09-18T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221GH","Personenauto","MERCEDES-BENZ","A 180 D","20230924","20190924","6704","sedan","5","GRIJS","Niet geregistreerd","4","1461","1355","1965","1455","725","1400","20190924","20190924","Geen verstrekking in Open Data","44989","Ja","206",,,,,,"4","4","0","0",,"0","0","M1",,,,"1965","F2A",,"e1*2007/46*1829*07","X003T2","EZAA151B","0","0.06","273","Nee","Nee",,"Nee","3430","0","0.00","2022","Logisch","00","Ja","2023-09-24T00:00:00.000","2019-09-24T00:00:00.000","2019-09-24T00:00:00.000","2019-09-24T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221GJ","Personenauto","OPEL","ADAM","20230919","20200415","4038","hatchback","4","ROOD","Niet geregistreerd","3","999","1063","1515","1163",,,"20190919","20190919","Geen verstrekking in Open Data","20047","Ja","180",,,,,,"3","4","0","0",,"0","0","M1",,,,"1515","S-D",,"e1*2001/116*0379*45","BA011CB12","BA2MAHKHG24","0","0.06","231","Nee","Nee",,"Nee","0","0","0.00","2022","Logisch","00","Ja","2023-09-19T00:00:00.000","2020-04-15T00:00:00.000","2019-09-19T00:00:00.000","2019-09-19T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221GK","Personenauto","NISSAN","NISSAN NOTE","20231008","20191008","1392","MPV","5","ROOD","Niet geregistreerd","3","1198","1045","1590","1145",,,"20160418","20191008","Geen verstrekking in Open Data","23354","Ja","173",,,,,,"4","4","0","0",,"0","170","M1",,,,"1590","E12",,"e11*2007/46*0753*04","C","C04","0","0.06","260","Nee","Nee",,"Nee","0","0",,"2021","Geen oordeel","05","Ja","2023-10-08T00:00:00.000","2019-10-08T00:00:00.000","2016-04-18T00:00:00.000","2019-10-08T00:00:00.000",,,,,,,,,,,"154",,,,,,,,,,"D",,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221GL","Personenauto","HYUNDAI","IONIQ","20231018","20191122",,"hatchback","5","ROOD","Niet geregistreerd",,,"1502","1970","1602",,,"20191018","20191018","Geen verstrekking in Open Data","41367","Ja","165",,,,,,"5","4","0","0",,"447","0","M1",,,,"1970","AE",,"e4*2007/46*1157*10","B5E11","E11BZ1","0","0.02","270","Nee","Nee",,"Nee","0","0","0.00","2022","Logisch","00","Ja","2023-10-18T00:00:00.000","2019-11-22T00:00:00.000","2019-10-18T00:00:00.000","2019-10-18T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221GP","Personenauto","VOLKSWAGEN","POLO","20240428","20200428","95","hatchback","5","ROOD","Niet geregistreerd","3","999","955","1540","1055","520","800","20150512","20200428","Geen verstrekking in Open Data","18027","Ja","173",,,,,,"5","4","0","0",,"0","168","M1",,,"r. motorruimte","1540","6R",,"e1*2001/116*0510*24","ABCHYB","FM5FM5CF008N2VR27MM00","0","0.05","246","Nee","Nee",,"Nee","2340","0",,"2022","Geen oordeel","05","Ja","2024-04-28T00:00:00.000","2020-04-28T00:00:00.000","2015-05-12T00:00:00.000","2020-04-28T00:00:00.000",,,,,,,,,,,,,,,,,,,,,"B",,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221GR","Personenauto","TOYOTA","TOYOTA YARIS","20230924","20190924","3776","MPV","5","GRIJS","Niet geregistreerd","4","1496","1020","1545","1120","550","835","20190924","20190924","Geen verstrekking in Open Data","19310","Ja","175",,,,,,"4","4","0","0",,"0","0","M1",,,,"1545","XP13M(A)",,"e6*2007/46*0344*01","NSP13(MH)","NSP131L-CHFNBW(3P)","0","0.07","251","Nee","Nee",,"Nee","2380","0","0.00","2021","Logisch","00","Ja","2023-09-24T00:00:00.000","2019-09-24T00:00:00.000","2019-09-24T00:00:00.000","2019-09-24T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221GS","Personenauto","CITROEN","C3 AIRCROSS","20230930","20201008","3776","MPV","5","WIT","Niet geregistreerd","3","1199","1154","1795","1254","600","840","20190930","20190930","Geen verstrekking in Open Data","24558","Ja","183",,,,,,"4","4","0","0",,"416","0","M1",,,,"1795","2",,"e4*2007/46*1241*07","R","HNPM-R1F100","0","0.06","260","Nee","Nee",,"Nee","2620","0","0.00","2020","Logisch","00","Ja","2023-09-30T00:00:00.000","2020-10-08T00:00:00.000","2019-09-30T00:00:00.000","2019-09-30T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221GT","Personenauto","RENAULT","CLIO","20230930","20200930","2466","hatchback","5","GRIJS","Niet geregistreerd","3","999","1065","1603","1165","580","900","20190930","20190930","Geen verstrekking in Open Data","20790","Ja","197",,,,,,"5","4","0","0",,"405","0","M1",,,,"1603","RJA",,"e2*2007/46*0676*00","BE2","MT5TA03A5000","0","0.06","258","Nee","Nee",,"Nee","2503","0","0.00","2022","Logisch","00","Ja","2023-09-30T00:00:00.000","2020-09-30T00:00:00.000","2019-09-30T00:00:00.000","2019-09-30T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221GV","Personenauto","KIA","NIRO","20230927","20190927",,"stationwagen","5","BLAUW","Niet geregistreerd",,,"1712","2230","1812",,,"20190927","20190927","Geen verstrekking in Open Data","42270","Ja","167",,,,,,"5","4","0","0",,"438","0","M1",,,,"2230","DE",,"e4*2007/46*1139*06","C5E11","E11DZ1","0","0.02","270","Nee","Nee",,"Nee","0","0","0.00","2022","Logisch","00","Ja","2023-09-27T00:00:00.000","2019-09-27T00:00:00.000","2019-09-27T00:00:00.000","2019-09-27T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221GX","Personenauto","SKODA","RAPID","20240914","20191206","3353","hatchback","5","GRIJS","Niet geregistreerd","3","999","1079","1639","1179","580","1000","20180914","20190920","Geen verstrekking in Open Data","21555","Ja","184",,,,,,"4","4","0","0",,"0","171","M1",,,,"1639","NH",,"e8*2007/46*0320*01","ABDKLD","NFM5FM5DF0027CPSTM71CSKA","0","0.06","259","Nee","Nee",,"Nee","2639","0","0.00","2022","Geen oordeel","05","Ja","2024-09-14T00:00:00.000","2019-12-06T00:00:00.000","2018-09-14T00:00:00.000","2019-09-20T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221GZ","Personenauto","RENAULT","CAPTUR","20230201","20210201","1656","hatchback","5","ZWART","Niet geregistreerd","3","898","1076","1658","1176","585","1200","20150416","20191220","Geen verstrekking in Open Data","21385","Ja","171",,,,,,"4","4","0","0",,"412","178","M1",,,,"1658","R",,"e2*2001/116*0327*68","2R5A","2R5A1H","0","0.06","261","Nee","Nee",,"Nee","2558","0",,"2021","Onlogisch","04","Ja","2023-02-01T00:00:00.000","2021-02-01T00:00:00.000","2015-04-16T00:00:00.000","2019-12-20T00:00:00.000",,,,,,,,,,,"157",,,,,,,,,,"B",,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221HB","Personenauto","OPEL","ASTRA SPORTS TOURER","20231003","20191003","3514","stationwagen","5","GRIJS","Niet geregistreerd","3","999","1178","1860","1278","620","1150","20191003","20191003","Geen verstrekking in Open Data","27195","Ja","195",,,,,,"5","4","0","0",,"470","0","M1",,,,"1860","B-K",,"e4*2007/46*0996*17","DA012CB12","BA2BABEAN25","0","0.06","266","Nee","Nee",,"Nee","3000","0","0.00","2022","Logisch","00","Ja","2023-10-03T00:00:00.000","2019-10-03T00:00:00.000","2019-10-03T00:00:00.000","2019-10-03T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221HD","Personenauto","VOLKSWAGEN","TIGUAN","20231002","20191002","7921","stationwagen","7","ZWART","Niet geregistreerd","4","1498","1555","2280","1655","750","1300","20191002","20191002","Geen verstrekking in Open Data","43684","Ja","198",,,,,,"5","4","0","0",,"0","0","M1",,,,"2280","5N",,"e1*2001/116*0450*40","ACDADAX0","FD7FD7GC008L7N4NVR27CP1BSB","0","0.07","279","Nee","Nee",,"Nee","3615","0","0.00","2022","Logisch","00","Ja","2023-10-02T00:00:00.000","2019-10-02T00:00:00.000","2019-10-02T00:00:00.000","2019-10-02T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
