"kenteken","voertuigsoort","merk","handelsbenaming","vervaldatum_apk","datum_tenaamstelling","bruto_bpm","inrichting","aantal_zitplaatsen","eerste_kleur","tweede_kleur","aantal_cilinders","cilinderinhoud","massa_ledig_voertuig","toegestane_maximum_massa_voertuig","massa_rijklaar","maximum_massa_trekken_ongeremd","maximum_trekken_massa_geremd","datum_eerste_toelating","datum_eerste_tenaamstelling_in_nederland","wacht_op_keuren","catalogusprijs","wam_verzekerd","maximale_constructiesnelheid","laadvermogen","oplegger_geremd","aanhangwagen_autonoom_geremd","aanhangwagen_middenas_geremd","aantal_staanplaatsen","aantal_deuren","aantal_wielen","afstand_hart_koppeling_tot_achterzijde_voertuig","afstand_voorzijde_voertuig_tot_hart_koppeling","afwijkende_maximum_snelheid","lengte","breedte","europese_voertuigcategorie","europese_voertuigcategorie_toevoeging","europese_uitvoeringcategorie_toevoeging","plaats_chassisnummer","technische_max_massa_voertuig","type","type_gasinstallatie","typegoedkeuringsnummer","variant","uitvoering","volgnummer_wijziging_eu_typegoedkeuring","vermogen_massarijklaar","wielbasis","export_indicator","openstaande_terugroepactie_indicator","vervaldatum_tachograaf","taxi_indicator","maximum_massa_samenstelling","aantal_rolstoelplaatsen","maximum_ondersteunende_snelheid","jaar_laatste_registratie_tellerstand","tellerstandoordeel","code_toelichting_tellerstandoordeel","tenaamstellen_mogelijk","vervaldatum_apk_dt","datum_tenaamstelling_dt","datum_eerste_toelating_dt","datum_eerste_tenaamstelling_in_nederland_dt","vervaldatum_tachograaf_dt","maximum_last_onder_de_vooras_sen_tezamen_koppeling","type_remsysteem_voertuig_code","rupsonderstelconfiguratiecode","wielbasis_voertuig_minimum","wielbasis_voertuig_maximum","lengte_voertuig_minimum","lengte_voertuig_maximum","breedte_voertuig_minimum","breedte_voertuig_maximum","hoogte_voertuig","hoogte_voertuig_minimum","hoogte_voertuig_maximum","massa_bedrijfsklaar_minimaal","massa_bedrijfsklaar_maximaal","technisch_toelaatbaar_massa_koppelpunt","maximum_massa_technisch_maximaal","maximum_massa_technisch_minimaal","subcategorie_nederland","verticale_belasting_koppelpunt_getrokken_voertuig","zuinigheidsclassificatie","registratie_datum_goedkeuring_afschrijvingsmoment_bpm","registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt","api_gekentekende_voertuigen_assen","api_gekentekende_voertuigen_brandstof","api_gekentekende_voertuigen_carrosserie","api_gekentekende_voertuigen_carrosserie_specifiek","api_gekentekende_voertuigen_voertuigklasse"
"G222BS","Personenauto","AUDI","A1 SPORTBACK","20230829","20210525","3252","hatchback","5","ZWART","Niet geregistreerd","3","999","1065","1630","1165",,,"20190829","20190829","Geen verstrekking in Open Data","27573","Ja","191",,,,,,"4","4","0","0",,"0","0","M1",,,,"1630","GB",,"e1*2007/46*1892*04","SDKLAF1","FM5FM5DF002RT11C177CPAEM1","0","0.06","255","Nee","Nee",,"Nee","0","0","0.00","2022","Logisch","00","Ja","2023-08-29T00:00:00.000","2021-05-25T00:00:00.000","2019-08-29T00:00:00.000","2019-08-29T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G222BT","Personenauto","RENAULT","CLIO","20230830","20220618","2466","hatchback","5","BLAUW","Niet geregistreerd","3","999","1065","1603","1165","580","900","20190830","20190830","Geen verstrekking in Open Data","24375","Ja","197",,,,,,"5","4","0","0",,"405","0","M1",,,,"1603","RJA",,"e2*2007/46*0676*00","BE2","MT5TA03A5000","0","0.06","258","Nee","Nee",,"Nee","2503","0","0.00","2022","Logisch","00","Ja","2023-08-30T00:00:00.000","2022-06-18T00:00:00.000","2019-08-30T00:00:00.000","2019-08-30T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G222BV","Personenauto","VOLVO","XC40","20230902","20220923","9426","stationwagen","5","ZWART","Niet geregistreerd","3","1477","1525","2120","1625","750","1600","20190902","20190902","Geen verstrekking in Open Data","52350","Ja","200",,,,,,"5","4","0","0",,"443","0","M1",,,,"2120","X",,"e9*2007/46*3146*06","XZ15","XZ15VD0?","0","0.07","270","Nee","Nee",,"Nee","3720","0","0.00","2022","Logisch","00","Ja","2023-09-02T00:00:00.000","2022-09-23T00:00:00.000","2019-09-02T00:00:00.000","2019-09-02T00:00:00.000",,,,,,,,,,,,,,,,,,,,,"D",,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G222BX","Personenauto","MITSUBISHI","MITSUBISHI ECLIPSE CROSS","20230828","20210708","10286","stationwagen","5","BRUIN","Niet geregistreerd","4","1499","1400","2050","1500","750","1600","20190828","20190828","Geen verstrekking in Open Data","34559","Ja","205",,,,,,"4","4","0","0",,"441","0","M1",,,,"2050","GK0",,"e1*2007/46*1769*01","GK111","AAAAM6B5CAAA","0","0.08","267","Nee","Ja",,"Nee","3650","0","0.00","2020","Logisch","00","Ja","2023-08-28T00:00:00.000","2021-07-08T00:00:00.000","2019-08-28T00:00:00.000","2019-08-28T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G222BZ","Personenauto","FORD","FOCUS","20230829","20190904","3918","stationwagen","5","GRIJS","Niet geregistreerd","4","1596","1177","1820","1277","635","1200","20080630","20190831","Geen verstrekking in Open Data",,"Ja","180",,,,,,"4","4","0","0",,"0","184","M1",,,,"1820","DA3",,"e13*2001/116*0144*13","SHDA1S","5ABCLE","0","0.06","264","Nee","Nee",,"Nee","3020","0","0.00","2022","Geen oordeel","05","Ja","2023-08-29T00:00:00.000","2019-09-04T00:00:00.000","2008-06-30T00:00:00.000","2019-08-31T00:00:00.000",,,,,,,,,,,,,,,,,,,,,"B",,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G222DB","Personenauto","TOYOTA","TOYOTA COROLLA","20230926","20190926","1222","stationwagen","5","ZWART","Niet geregistreerd","4","1798","1265","1835","1365","450","750","20190926","20190926","Geen verstrekking in Open Data","30835","Ja","180",,,,,,"4","4","0","0",,"0","0","M1",,,,"1835","ZE1HE(EU,M)",,"e6*2007/46*0318*02","ZWE211(W)","ZWE211L-DWXNBW(1C)","0","0.05","270","Nee","Nee",,"Nee","2585","0","0.00","2022","Logisch","00","Ja","2023-09-26T00:00:00.000","2019-09-26T00:00:00.000","2019-09-26T00:00:00.000","2019-09-26T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G222DD","Personenauto","CITROEN","C3 AIRCROSS","20230829","20220805","3776","MPV","5","WIT","Niet geregistreerd","3","1199","1154","1795","1254","600","840","20190829","20190829","Geen verstrekking in Open Data","24634","Ja","183",,,,,,"4","4","0","0",,"416","0","M1",,,,"1795","2",,"e4*2007/46*1241*07","R","HNPM-R1F100","0","0.06","260","Nee","Nee",,"Nee","2620","0","0.00","2022","Logisch","00","Ja","2023-08-29T00:00:00.000","2022-08-05T00:00:00.000","2019-08-29T00:00:00.000","2019-08-29T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G222DF","Personenauto","FORD","FOCUS","20230830","20200718","3645","stationwagen","5","BLAUW","Niet geregistreerd","3","999","1283","1925","1383","690","1000","20190830","20190830","Geen verstrekking in Open Data","30825","Ja","198",,,,,,"4","4","0","0",,"0","0","M1",,,,"1925","DEH",,"e13*2007/46*1911*05","B7DA1PX","5APBZ6AB7BT","0","0.07","270","Nee","Nee",,"Nee","2925","0","0.00","2020","Logisch","00","Ja","2023-08-30T00:00:00.000","2020-07-18T00:00:00.000","2019-08-30T00:00:00.000","2019-08-30T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G222DG","Personenauto","SUBARU","FORESTER","20230830","20191012","10071","stationwagen","5","WIT","Niet geregistreerd","4","1995","1500","2015","1600","750","2000","20190830","20190830","Geen verstrekking in Open Data","42296","Ja","192",,,,,,"4","4","0","0",,"0","0","M1",,,,"2015","SJ",,"e13*2007/46*1305*07","SJ5","530","0","0.07","264","Nee","Ja",,"Nee","4015","0","0.00","2019","Logisch","00","Ja","2023-08-30T00:00:00.000","2019-10-12T00:00:00.000","2019-08-30T00:00:00.000","2019-08-30T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G222DH","Personenauto","MAZDA","MAZDA2","20240504","20220123","4440","hatchback","5","ROOD","Niet geregistreerd","4","1496","955","1510","1055","520","900","20180504","20190828","Geen verstrekking in Open Data","25010","Ja",,,,,,,"4","4","0","0",,"406","170","M1",,,"r. bodemplaat by voorzitting","1510","DJ1",,"e1*2007/46*1335*10","6HA","62W0","0","0.08","257","Nee","Nee",,"Nee","2410","0","0.00","2022","Geen oordeel","05","Ja","2024-05-04T00:00:00.000","2022-01-23T00:00:00.000","2018-05-04T00:00:00.000","2019-08-28T00:00:00.000",,,,,,,,,,,"150",,,,,,,,,,"D",,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
