,kenteken,voertuigsoort,merk,handelsbenaming,vervaldatum_apk,datum_tenaamstelling,inrichting,aantal_zitplaatsen,eerste_kleur,massa_ledig_voertuig,toegestane_maximum_massa_voertuig,massa_rijklaar,datum_eerste_toelating,datum_eerste_tenaamstelling_in_nederland,wacht_op_keuren,wam_verzekerd,aantal_deuren,aantal_wielen,afstand_hart_koppeling_tot_achterzijde_voertuig,afstand_voorzijde_voertuig_tot_hart_koppeling,lengte,breedte,europese_voertuigcategorie,plaats_chassisnummer,technische_max_massa_voertuig,typegoedkeuringsnummer,variant,uitvoering,volgnummer_wijziging_eu_typegoedkeuring,vermogen_massarijklaar,wielbasis,export_indicator,openstaande_terugroepactie_indicator,taxi_indicator,jaar_laatste_registratie_tellerstand,maximum_massa_samenstelling,tellerstandoordeel,aantal_rolstoelplaatsen,code_toelichting_tellerstandoordeel,api_gekentekende_voertuigen_assen,tenaamstellen_mogelijk,vervaldatum_apk_dt,api_gekentekende_voertuigen_brandstof,api_gekentekende_voertuigen_carrosserie,datum_tenaamstelling_dt,datum_eerste_toelating_dt,api_gekentekende_voertuigen_carrosserie_specifiek,api_gekentekende_voertuigen_voertuigklasse,datum_eerste_tenaamstelling_in_nederland_dt
126,13ZKS5,Personenauto,RENAULT,FLUENCE Z.E.,2022-12-21,2012-12-20,sedan,5,GRIJS,1505,2023,1605,20121219,20121219,Geen verstrekking in Open Data,Ja,4,4,0,0,475,0,M1,r. balk onder voorzitting,2023,e2*2007/46*0090*01,LZBZ,LZBZ0L,0,0.03,270,Nee,Nee,Nee,2021,0,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2022-12-21,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2012-12-20,2012-12-19,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2012-12-19
127,13ZNX3,Personenauto,RENAULT,FLUENCE Z.E.,2022-02-09,2022-01-18,sedan,5,BLAUW,1505,2023,1605,20130104,20130104,Geen verstrekking in Open Data,Ja,4,4,0,0,475,0,M1,r. balk onder voorzitting,2023,e2*2007/46*0090*01,LZBZ,LZBZ0L,0,0.03,270,Nee,Nee,Nee,2022,0,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2022-02-09,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2022-01-18,2013-01-04,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2013-01-04
128,13ZPT5,Personenauto,CITROEN,C-ZERO,2022-10-30,2013-02-05,MPV,4,GRIJS,1095,1450,1195,20130205,20130205,Geen verstrekking in Open Data,Ja,4,4,0,0,348,0,M1,r. kofferruimte,1450,e2*2007/46*0068*00,NZKZ,Z,0,0.03,255,Nee,Nee,Nee,2021,0,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2022-10-30,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2013-02-05,2013-02-05,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2013-02-05
129,14FZ47,Personenauto,N.S.U.,RO 80,2021-09-19,2019-09-23,Niet geregistreerd,,GEEL,1240,,1340,19750522,19750522,Geen verstrekking in Open Data,Nee,4,4,0,0,0,0,M1,op r. schroefveerkoker onder motorkap,0,,,,0,0.00,286,Nee,Nee,Nee,2019,0,Geen oordeel,,01,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2021-09-19,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2019-09-23,1975-05-22,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,1975-05-22
130,14GR17,Personenauto,MERCEDES-BENZ,L206 E,2024-08-26,2016-06-23,MPV,2,GROEN,1785,2500,1885,19750815,19750815,Geen verstrekking in Open Data,Ja,4,4,,,,175,M1,tegen r. balk 010 cm v. 1e veerh.,2500,,,,,0.01,240,Nee,Nee,Nee,2022,,Geen oordeel,,07,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2024-08-26,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2016-06-23,1975-08-15,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,1975-08-15
131,14KTN1,Personenauto,MAZDA,MAZDA RX-8,2022-06-04,2020-06-04,sedan,4,GRIJS,1290,1820,1390,20040129,20100619,Geen verstrekking in Open Data,Nee,4,4,0,0,443,0,M1,r. tegen schutbord onder motorkap,1820,e11*2001/116*0199*01,17N,2,0,0.10,270,Nee,Nee,Nee,2021,3020,Geen oordeel,0,05,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2022-06-04,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2020-06-04,2004-01-29,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2010-06-19
132,14NJLX,Personenauto,MAZDA,MAZDA RX-8,2019-08-28,2018-08-25,sedan,4,GRIJS,1290,1815,1390,20031013,20031013,Geen verstrekking in Open Data,Nee,4,4,0,0,443,0,M1,r. tegen schutbord onder motorkap,1815,e11*2001/116*0199*01,173,6,0,0.12,270,Nee,Ja,Nee,2018,3015,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2019-08-28,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2018-08-25,2003-10-13,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2003-10-13
133,14SZVT,Personenauto,MAZDA,MAZDA RX-8,2018-12-05,2018-05-06,sedan,4,ZWART,1290,1820,1390,20060626,20060626,Geen verstrekking in Open Data,Nee,4,4,0,0,443,0,M1,r. tegen schutbord onder motorkap,1820,e11*2001/116*0199*01,17N,2,0,0.10,270,Nee,Ja,Nee,2018,3020,Geen oordeel,0,07,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2018-12-05,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2018-05-06,2006-06-26,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2006-06-26
134,14TXN9,Personenauto,NISSAN,NISSAN LEAF,2023-05-02,2016-11-11,MPV,5,ZWART,1500,1965,1600,20120427,20120427,Geen verstrekking in Open Data,Ja,4,4,0,0,445,0,M1,r. schutbord,1965,e11*2007/46*0230*01,A,A01,0,0.05,269,Nee,Nee,Nee,2022,0,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2023-05-02,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2016-11-11,2012-04-27,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2012-04-27
135,14XKJ1,Personenauto,CITROEN,C-ZERO,2022-10-30,2019-10-11,MPV,4,WIT,1095,1450,1195,20120627,20120627,Geen verstrekking in Open Data,Ja,4,4,0,0,348,0,M1,r. kofferruimte,1450,e2*2007/46*0068*00,NZKZ,Z,0,0.03,255,Ja,Nee,Nee,2021,0,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Nee,2022-10-30,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2019-10-11,2012-06-27,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2012-06-27
136,14XSG7,Personenauto,PEUGEOT,ION,2023-10-06,2016-07-08,MPV,4,WIT,1095,1450,1195,20121002,20121002,Geen verstrekking in Open Data,Ja,4,4,0,0,348,0,M1,r. kofferruimte,1450,e2*2007/46*0069*00,NZKZ,Z,0,0.03,255,Nee,Nee,Nee,2022,0,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2023-10-06,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2016-07-08,2012-10-02,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2012-10-02
137,15HFVX,Personenauto,MAZDA,RX-7 TURBO II U9,2017-08-21,2001-11-06,coupe,,ROOD,1300,1715,1400,19890331,20010711,Geen verstrekking in Open Data,Ja,2,4,0,0,0,0,M1,r. tegen schutbord onder motorkap,1715,,,,0,0.10,243,Nee,Nee,Nee,2016,0,Geen oordeel,,05,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2017-08-21,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2001-11-06,1989-03-31,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2001-07-11
138,15NJLX,Personenauto,MAZDA,MAZDA RX-8,2023-05-04,2016-12-12,sedan,4,ROOD,1290,1820,1390,20031010,20031010,Geen verstrekking in Open Data,Ja,4,4,0,0,443,0,M1,r. tegen schutbord onder motorkap,1820,e11*2001/116*0199*01,17N,2,0,0.10,270,Nee,Nee,Nee,2022,3020,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2023-05-04,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2016-12-12,2003-10-10,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2003-10-10
139,15RXG4,Personenauto,NISSAN,NISSAN LEAF,2023-09-30,2022-01-11,MPV,5,WIT,1500,1965,1600,20110816,20110816,Geen verstrekking in Open Data,Ja,4,4,0,0,445,0,M1,r. schutbord,1965,e11*2007/46*0230*00,A,A01,0,0.05,269,Nee,Nee,Nee,2022,0,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2023-09-30,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2022-01-11,2011-08-16,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2011-08-16
140,15SZTD,Personenauto,MAZDA,MAZDA RX-8,2017-06-25,2015-03-25,sedan,4,ZWART,1290,1820,1390,20060630,20060630,Geen verstrekking in Open Data,Ja,4,4,0,0,443,0,M1,r. tegen schutbord onder motorkap,1820,e11*2001/116*0199*01,17N,2,0,0.10,270,Nee,Ja,Nee,2016,3020,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2017-06-25,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2015-03-25,2006-06-30,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2006-06-30
141,15SZVT,Personenauto,MAZDA,MAZDA RX-8,2023-09-23,2018-01-16,sedan,4,ROOD,1290,1820,1390,20060630,20060630,Geen verstrekking in Open Data,Ja,4,4,0,0,443,0,M1,r. tegen schutbord onder motorkap,1820,e11*2001/116*0199*01,17N,2,0,0.10,270,Nee,Nee,Nee,2022,3020,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2023-09-23,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2018-01-16,2006-06-30,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2006-06-30
142,15XDG8,Personenauto,MITSUBISHI,MITSUBISHI I-MIEV,2023-07-19,2017-08-05,stationwagen,4,WIT,1085,1450,1185,20120521,20120521,Geen verstrekking in Open Data,Ja,4,4,0,0,348,0,M1,r. kofferruimte,1450,e1*2007/46*0527*03,HA311,AAAAAAA4AAAA,0,0.03,255,Nee,Nee,Nee,2022,0,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2023-07-19,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2017-08-05,2012-05-21,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2012-05-21
143,15XRB7,Personenauto,TESLA,ROADSTER,2023-07-06,2012-06-30,cabriolet,2,ROOD,1235,1460,1335,20120630,20120630,Geen verstrekking in Open Data,Ja,2,4,0,0,395,0,M1,r. balk v. vooras,1460,e4*KS07/46*0001*03,A,02 ROADSTER SPORT,1,0.03,235,Nee,Nee,Nee,2022,0,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2023-07-06,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2012-06-30,2012-06-30,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2012-06-30
144,15XSG7,Personenauto,PEUGEOT,ION,2023-10-02,2016-07-15,MPV,4,WIT,1095,1450,1195,20121002,20121002,Geen verstrekking in Open Data,Ja,4,4,0,0,348,0,M1,r. kofferruimte,1450,e2*2007/46*0069*00,NZKZ,Z,0,0.03,255,Nee,Nee,Nee,2022,0,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2023-10-02,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2016-07-15,2012-10-02,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2012-10-02
145,15XVV4,Personenauto,CITROEN,C-ZERO,2023-08-11,2019-10-25,MPV,4,WIT,1095,1450,1195,20120904,20120904,Geen verstrekking in Open Data,Ja,4,4,0,0,348,0,M1,r. kofferruimte,1450,e2*2007/46*0068*00,NZKZ,Z,0,0.03,255,Nee,Nee,Nee,2022,0,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2023-08-11,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2019-10-25,2012-09-04,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2012-09-04
146,16DPND,Personenauto,CITROEN,2CVE,2023-07-01,2022-03-03,sedan,5,GRIJS,700,1055,800,19900430,19991030,Geen verstrekking in Open Data,Ja,4,4,,,,,M1,tegen binnenzyde r. balk a. achteras,1055,,,,,0.06,240,Nee,Nee,Nee,2021,,Geen oordeel,,01,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2023-07-01,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2022-03-03,1990-04-30,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,1999-10-30
147,16JND2,Personenauto,VOLKSWAGEN,GOLF,2023-03-25,2014-10-03,stationwagen,5,GRIJS,1620,1940,1720,20091210,20091210,Geen verstrekking in Open Data,Ja,4,4,0,0,0,0,M1,r. schroefveerkoker,1940,e1*2001/116*0328*13,ACCAXAX0,FM6FM6AJ008N0GGN1,0,0.09,257,Nee,Nee,Nee,2022,3240,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2023-03-25,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2014-10-03,2009-12-10,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2009-12-10
148,16PDGB,Personenauto,MAZDA,MAZDA RX-8,2023-04-18,2013-04-20,sedan,4,ZWART,1290,1820,1390,20040505,20040505,Geen verstrekking in Open Data,Ja,4,4,0,0,443,0,M1,r. tegen schutbord onder motorkap,1820,e11*2001/116*0199*01,17N,2,0,0.10,270,Nee,Nee,Nee,2022,3020,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2023-04-18,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2013-04-20,2004-05-05,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2004-05-05
149,16PSZ1,Personenauto,NISSAN,NISSAN LEAF,2023-04-19,2019-04-13,MPV,5,WIT,1500,1965,1600,20110325,20110325,Geen verstrekking in Open Data,Ja,4,4,0,0,445,0,M1,r. schutbord,1965,e11*2007/46*0230*00,A,A01,0,0.05,269,Nee,Nee,Nee,2022,0,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2023-04-19,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2019-04-13,2011-03-25,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2011-03-25
150,16SKP5,Personenauto,THINK,TH!NK CITY,2023-10-15,2018-11-10,hatchback,2,ROOD,1006,1307,1106,20111015,20111015,Geen verstrekking in Open Data,Ja,2,4,0,0,314,0,M1,r. voorzitting,1307,e4*2007/46*0005*03,6,C,0,0.02,197,Nee,Nee,Nee,2022,0,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2023-10-15,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2018-11-10,2011-10-15,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2011-10-15
151,16SXK4,Personenauto,RENAULT,FLUENCE Z.E.,2023-06-02,2021-05-17,sedan,5,BLAUW,1505,2023,1605,20120119,20120119,Geen verstrekking in Open Data,Ja,4,4,0,0,475,0,M1,r. balk onder voorzitting,2023,e2*2007/46*0090*01,LZBZ,LZBZ0L,0,0.03,270,Nee,Nee,Nee,2022,0,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2023-06-02,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2021-05-17,2012-01-19,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2012-01-19
152,16SZVT,Personenauto,MAZDA,MAZDA RX-8,2023-04-14,2022-04-20,sedan,4,ZWART,1290,1815,1390,20060630,20060630,Geen verstrekking in Open Data,Ja,4,4,0,0,443,0,M1,r. tegen schutbord onder motorkap,1815,e11*2001/116*0199*01,173,6,0,0.12,270,Nee,Nee,Nee,2022,3015,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2023-04-14,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2022-04-20,2006-06-30,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2006-06-30
